행정구분,년도,직종구분,데이터구분,데이터
전남,2008,조산사,인원수,75
전남,2008,간호사,인원수,4623
전남,2008,간호조무사,인원수,4402
전남,2008,의료기사,인원수,3104
전남,2008,의무기록사,인원수,94
전남,2008,약사,인원수,131
경북,2008,합계,인원수,17700
경북,2008,상근의사,인원수,2671
경북,2008,비상근의사,인원수,7
경북,2008,치과의사,인원수,603
경북,2008,한의사,인원수,633
경북,2008,조산사,인원수,45
경북,2008,간호사,인원수,5201
경북,2008,간호조무사,인원수,4953
경북,2008,의료기사,인원수,3014
경북,2008,의무기록사,인원수,114
경북,2008,약사,인원수,459
경남,2008,합계,인원수,23084
경남,2008,상근의사,인원수,3687
경남,2008,비상근의사,인원수,11
경남,2008,치과의사,인원수,812
경남,2008,한의사,인원수,735
경남,2008,조산사,인원수,46
경남,2008,간호사,인원수,5442
경남,2008,간호조무사,인원수,7120
경남,2008,의료기사,인원수,4840
경남,2008,의무기록사,인원수,172
경남,2008,약사,인원수,219
제주,2008,합계,인원수,4600
제주,2008,상근의사,인원수,701
제주,2008,비상근의사,인원수,
제주,2008,치과의사,인원수,164
제주,2008,한의사,인원수,126
제주,2008,조산사,인원수,8
제주,2008,간호사,인원수,1776
제주,2008,간호조무사,인원수,888
제주,2008,의료기사,인원수,884
제주,2008,의무기록사,인원수,26
제주,2008,약사,인원수,27
