행정구분,직종구분,데이터구분,1967 년,1970 년,1971 년,1973 년,1974 년,1975 년,1978 년,1979 년,1980 년,1981 년,1982 년,1983 년,1984 년,1985 년,1986 년,1987 년,1988 년,1989 년,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년
전국,치과의사,만명당인원수,,0.9,0.9,0.9,0.9,9.8,0.89,0.9,0.9,0.8,0.9,,1.1,1.2,1.3,1.4,1.5,1.2,1.8,0.74,2.08,2.22,2.37,2.43,2.52,2.68,2.78,3.01,3.04
전국,한의사,인원수,1830,2094,2165,2260,2253,2256,2283,2284,2464,2469,2477,2584,2706,2833,3052,3333,3784,4215,4539,4839,5227,5697,6043,6564,7011,7169,7539,8238,8759
전국,한의사,남자인원수,959,2055,955,2214,2212,2211,2231,2237,2396,2418,2419,1298,1396,1492,1615,1803,2060,2343,2570,4719,,,,,,,,,
전국,한의사,여자인원수,63,39,9,46,41,45,52,47,68,51,58,37,25,25,37,37,75,75,95,120,,,,,,,,,
전국,한의사,만명당인원수,,1.4,1.3,1.2,1.1,12.1,0.98,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,1,1.1,0.9,1.3,0.51,1.4,1.5,1.56,1.57,1.64,1.66,1.73,1.87,1.96
전국,조산사,인원수,968,1056,902,1388,1255,1232,1068,980,1279,1331,1238,1951,1469,1396,1305,1431,1508,1351,1502,1401,1565,1395,1452,1338,1283,1294,1265,1182,1128
전국,조산사,만명당인원수,,0.7,0.6,0.7,0.6,6.6,0.45,0.4,0.5,0.5,0.4,,0.5,0.4,0.4,0.43,0.4,0.5,0.4,0.14,0.41,0.36,0.37,0.32,0.3,0.3,0.29,0.27,0.25
전국,간호사,인원수,4259,5850,6861,8316,7940,8248,12036,13770,14369,17846,17127,17819,22338,35814,24301,25482,27922,29694,35114,36639,38123,41061,44892,46962,49396,52087,54206,61316,64674
전국,간호사,만명당인원수,,3.8,4.2,4.4,4,44.2,5.17,5.5,5.3,6.4,6.7,,7.3,91.3,7.5,7.7,8.1,7,9.8,3.88,10.21,10.81,11.64,11.26,11.58,12.07,12.41,13.9,14.49
전국,약사,인원수,,,,,,,,15657,17226,17921,18619,17193,16678,17588,18201,19282,20011,20515,21289,18783,21923,21500,19912,26036,17102,17176,15621,11899,9740
전국,약사,남자인원수,,,,,,,,8774,9322,9653,10043,5940,5931,6168,6434,6887,6692,7213,7439,14131,,,,,,,,,
전국,약사,여자인원수,,,,,,,,6883,7904,8268,8576,3292,3734,4081,4204,4653,5076,5255,5717,4652,,,,,,,,,
전국,약사,만명당인원수,,,,,,,,6.3,6.4,6.4,6.5,,5.4,5.6,5.6,5.8,5.8,4.6,5.9,1.99,5.87,5.66,5.16,6.24,4.01,3.98,3.58,2.7,2.18
전국,간호조무사,인원수,,,,,,,,,,,,,,,,,,,,,45455,49848,55186,59699,61398,64150,64126,68908,72082
전국,간호조무사,만명당인원수,,,,,,,,,,,,,,,,,,,,,12.18,13.12,14.31,14.32,14.4,14.86,14.68,15.62,16.15
전국,의료기사,인원수,,,,,,,,,,,,,,,,,,,,,20455,22164,24164,27675,28794,29935,31777,36056,36370
전국,의료기사,만명당인원수,,,,,,,,,,,,,,,,,,,,,5.48,5.83,6.26,6.64,6.75,6.93,7.28,8.17,8.15
전국,유사의료업자,인원수,660,383,388,417,584,1180,1291,499,2195,1768,736,4402,2525,1095,434,318,4420,4759,5404,5819,,,,,,,,,
전국,유사의료업자,남자인원수,596,363,263,357,371,846,600,403,1383,1031,567,1846,832,524,257,213,206,177,195,5711,,,,,,,,,
전국,유사의료업자,여자인원수,64,20,23,60,213,334,691,96,812,737,175,241,1453,139,38,26,48,17,47,108,,,,,,,,,
전국,유사의료업자,만명당인원수,,0.3,0.2,0.2,0.2,6.3,0.55,0.2,0.8,0.6,0.3,,8.3,0.8,0.13,0.1,1.3,0.2,1.5,0.61,,,,,,,,,
전국,안마사,인원수,,,,,,,,,,,,,,,,776,2344,2184,2241,2627,,,,,,,,,
전국,안마사,남자인원수,,,,,,,,,,,,,,,,166,210,203,234,2319,,,,,,,,,
전국,안마사,여자인원수,,,,,,,,,,,,,,,,125,122,131,207,308,,,,,,,,,
전국,안마사,만명당인원수,,,,,,,,,,,,,,,,0.23,0.7,0.1,0.6,0.27,,,,,,,,,
시계,합계,인원수,11343,16697,17903,21164,21528,20691,27203,41995,49016,54385,56131,59032,62289,77237,67245,72292,85100,89111,98448,101537,159528,173438,186612,207247,209526,219444,223935,234748,245343
시계,합계,남자인원수,3698,9117,4007,10906,11516,11788,13913,20949,24818,26091,29270,16982,16717,17435,18164,20263,22296,23807,25476,59458,,,,,,,,,
시계,합계,여자인원수,1998,7580,3408,10258,10012,8903,13290,21046,24198,28294,26861,13976,19074,20851,19325,20945,23184,24214,29390,42079,,,,,,,,,
시계,합계,만명당인원수,,13.6,13.2,14.1,13.4,,13.99,20.5,22.8,23.4,23.5,,23.9,28.8,23.6,24.9,27.5,25.2,30.4,30.74,46.98,50.15,53.06,52.99,51.76,53.56,53.88,55.9,57.78
시계,의사,인원수,4572,6995,7184,8541,9041,9133,10467,10348,12972,14408,16978,16781,18010,18849,20329,21706,24027,25310,27014,29440,29009,34779,37742,39849,42657,45414,47326,44382,50012
시계,의사,남자인원수,2312,5803,2653,7185,7736,7847,9611,9213,11157,12358,15121,8217,8852,9049,9609,10742,12158,12611,13531,27575,,,,,,,,,
시계,의사,여자인원수,357,1192,248,1356,1305,1286,856,1135,1815,2050,1857,651,760,726,890,920,1059,1137,1424,1865,,,,,,,,,
시계,의사,만명당인원수,,5.4,5.3,5.7,5.6,,5.38,5,6,6.2,6.6,,6.9,6.9,7.2,7.5,7.8,6.8,8.3,8.91,8.54,10.05,10.73,10.19,10.54,11.08,11.39,10.57,11.78
시계,치과의사,인원수,930,1295,1361,1589,1652,1661,1905,1949,2270,2106,2671,2859,3094,3520,3834,4254,4895,5137,5918,6576,7145,7835,8466,9531,10219,11007,11558,12679,12966
시계,치과의사,남자인원수,369,1221,448,1513,1576,1592,1832,2870,2163,2004,2590,1173,1291,1609,1757,2001,2323,2634,2972,6125,,,,,,,,,
시계,치과의사,여자인원수,47,74,22,76,76,69,73,79,107,102,81,55,66,82,127,159,190,244,391,451,,,,,,,,,
시계,치과의사,만명당인원수,,1.1,1,1,1,,0.97,0.9,1.1,0.9,1,,1.2,1.3,1.4,1.5,1.6,1.48,1.8,1.99,2.1,2.26,2.4,2.44,2.52,2.69,2.78,3.02,3.05
시계,한의사,인원수,1537,1833,1893,1954,1933,1955,1998,1961,2149,2221,2206,2279,2393,2561,2762,3024,3499,3914,4210,4486,4885,5314,5629,6183,6683,6807,7145,7817,8322
시계,한의사,남자인원수,667,1795,683,1913,1894,1915,1953,1917,2091,2171,2150,1012,1085,1222,1328,1497,1780,2048,2249,4382,,,,,,,,,
시계,한의사,여자인원수,62,38,9,41,39,40,45,44,58,50,56,18,23,23,34,34,70,69,87,104,,,,,,,,,
시계,한의사,만명당인원수,,1.5,1.4,1.3,1.2,,1.02,1,1,1,0.9,,0.9,0.9,0.9,1.04,1.1,1.1,1.3,1.35,1.43,1.53,1.6,1.58,1.65,1.66,1.72,1.86,1.96
시계,조산사,인원수,824,925,780,1194,1117,1056,922,805,1104,1204,1120,1215,1336,1242,1140,1248,1328,1154,1328,1193,1397,1265,1335,1267,1227,1246,1211,1123,1085
시계,조산사,만명당인원수,,0.8,0.6,0.7,0.7,,0.47,0.4,0.5,0.5,0.4,,0.5,0.4,0.4,0.43,0.4,0.4,0.4,0.36,0.41,0.36,0.37,0.32,0.3,0.3,0.29,0.27,0.26
시계,간호사,인원수,3850,5395,6348,7593,7268,7456,10762,12224,12711,16160,15243,15796,19922,33856,22157,23302,25991,27551,32595,34044,35476,38103,41975,44432,47346,49980,51930,58835,62090
시계,간호사,만명당인원수,,4.4,4.7,5,4.5,,5.53,5.9,5.9,6.9,7.2,,7.6,12.4,7.9,8,8.4,8.3,10.1,10.3,10.44,11.01,11.93,11.36,11.7,12.2,12.5,14.01,14.62
시계,약사,인원수,,,,,,,,14373,15761,16659,17284,15787,15187,16196,16675,17711,18695,19153,19880,17430,20504,20031,18566,24842,16535,16274,14615,10971,8781
시계,약사,남자인원수,,,,,,,,7673,8130,8629,8949,4808,4751,5088,5078,5717,5678,6180,6393,13103,,,,,,,,,
시계,약사,여자인원수,,,,,,,,6700,7631,8030,8339,3018,3423,3769,3834,4252,4774,4926,5354,4327,,,,,,,,,
시계,약사,만명당인원수,,,,,,,,7,7.3,7.2,7.2,,5.8,5.9,5.9,6.1,6,5.7,6.1,5.27,6.03,5.79,5.27,6.35,4.08,3.97,3.52,2.61,2.07
시계,간호조무사,인원수,,,,,,,,,,,,,,,,,,,,,42371,45909,50806,55487,57831,60577,60419,64955,68036
시계,간호조무사,만명당인원수,,,,,,,,,,,,,,,,,,,,,12.48,13.27,14.44,14.19,14.29,14.78,14.54,15.47,16.02
시계,의료기사,인원수,,,,,,,,,,,,,,,,,,,,,18741,20202,22093,25656,27028,28139,29731,33986,34051
시계,의료기사,만명당인원수,,,,,,,,,,,,,,,,,,,,,5.52,5.84,6.28,6.56,6.68,6.87,7.15,8.09,8.02
시계,유사의료업자,인원수,582,272,337,293,513,1100,1149,335,2054,1627,629,4315,2328,1013,348,233,4327,4715,5270,5744,,,,,,,,,
시계,유사의료업자,남자인원수,529,261,223,271,306,771,517,276,1282,929,460,1772,745,467,192,142,151,138,103,5664,,,,,,,,,
시계,유사의료업자,여자인원수,53,11,12,22,207,329,632,59,772,698,169,228,1343,114,17,12,10,12,5,80,,,,,,,,,
시계,유사의료업자,만명당인원수,,0.2,0.2,0.2,0.3,,0.59,0.2,1,0.7,0.3,,0.9,0.9,0.12,0.08,1.4,0.4,1.6,1.73,,,,,,,,,
시계,안마사,인원수,,,,,,,,,,,,,,,,774,2338,2177,2233,2624,,,,,,,,,
시계,안마사,남자인원수,,,,,,,,,,,,,,,,164,204,196,226,2316,,,,,,,,,
시계,안마사,여자인원수,,,,,,,,,,,,,,,,125,122,131,207,308,,,,,,,,,
시계,안마사,만명당인원수,,,,,,,,,,,,,,,,0.27,0.8,0.2,0.7,0.79,,,,,,,,,
서울,합계,인원수,5647,9744,10488,11835,11630,12344,15089,22313,27561,29769,28191,28074,26498,38951,29745,31084,39620,41090,43582,45620,60431,63049,68310,74946,76921,68210,68698,65192,71197
서울,합계,남자인원수,,5114,,6248,6339,6740,8442,10932,13920,13775,14781,,,,,,,,,33097,,,,,,,,,
서울,합계,여자인원수,,4630,,5587,5291,5604,6647,11381,13641,15994,13410,,,,,,,,,12523,,,,,,,,,
서울,합계,만명당인원수,14.2,19.1,18,1.88,1.163,17.9,19.3,27,32.9,34.3,31.6,,27.9,40.4,31.1,31.1,38.5,39.1,41.01,41.96,55.08,57.7,63.25,70.73,73.47,65.66,66.56,63.16,68.64
서울,의사,인원수,1903,4053,4283,5122,5064,5064,6261,5229,7342,7717,8829,7913,8398,9074,9830,10084,10810,11562,12059,12518,13851,14392,15251,15409,16937,17279,17513,12289,16731
서울,의사,남자인원수,,3112,,3996,4041,4041,5714,4422,5966,6195,7481,,,,,,,,,,,,,,,,,,
서울,의사,여자인원수,,941,,1126,1023,1023,547,807,1376,1522,1348,,,,,,,,,,,,,,,,,,
서울,의사,만명당인원수,4.8,7.9,7,8.14,0.506,7.3,8.01,6,8.8,8.9,9.9,,8.8,9.4,9.96,10.09,10.5,10.9,11.35,11.51,12.62,13.17,14.12,14.54,16.18,16.63,16.97,11.91,16.13
서울,치과의사,인원수,514,847,891,1058,1090,1090,1243,1189,1420,1218,1594,1631,1738,1829,1948,2094,2382,2259,2555,2737,2861,3070,3421,3634,3721,4066,4108,4641,4563
서울,치과의사,남자인원수,,793,,997,1038,1038,1185,1131,1339,1148,1551,,,,,,,,,,,,,,,,,,
서울,치과의사,여자인원수,,54,,61,52,52,58,58,81,70,43,,,,,,,,,,,,,,,,,,
서울,치과의사,만명당인원수,13,1.6,1.5,1.68,0.109,1.5,1.59,1,1.6,1.4,1.8,,1.8,1.9,1.08,2.09,2.3,2.1,2.4,2.51,2.6,2.8,3.16,3.43,3.55,3.91,3.98,4.5,4.4
서울,한의사,인원수,808,1137,1201,1175,1176,1176,1213,1122,1279,1284,1227,1249,1285,1316,1400,1493,1649,1797,1874,1944,2052,2177,2267,2323,2394,2355,2463,2589,2725
서울,한의사,남자인원수,,1107,,1144,1144,1144,1178,1088,1233,1241,1186,,,,,,,,,,,,,,,,,,
서울,한의사,여자인원수,,30,,31,32,32,35,34,46,43,41,,,,,,,,,,,,,,,,,,
서울,한의사,만명당인원수,2,2.2,2,1,0.1176,1.7,1.56,1,1.5,1.5,1.4,,1.4,1.4,1.42,1.49,1.6,1.7,1.76,1.78,1.87,1.99,2.09,2.19,2.29,2.27,2.39,2.51,2.63
서울,조산사,인원수,220,401,226,238,446,446,431,200,377,530,314,369,359,264,367,332,427,323,362,289,305,277,291,267,211,234,268,190,191
서울,조산사,만명당인원수,0.6,0.7,0.4,1.1,0.0446,0.6,0.56,,0.4,0.6,0.35,,0.4,0.3,0.26,0.33,0.4,0.3,0.34,0.26,0.27,0.25,0.26,0.25,0.2,0.23,0.26,0.18,0.18
서울,간호사,인원수,1847,3200,3785,857,3726,3726,4955,5475,6088,8140,6310,6636,7465,18697,8498,8775,9931,10687,11637,12523,13495,14077,15253,16330,17255,17231,17081,17441,19045
서울,간호사,만명당인원수,4.7,6.2,6,4.1,0.3726,5.4,6.34,7,7.2,9.4,7.1,,7.9,19.4,8.9,8.8,9.2,10.16,10.95,11.52,12.3,12.88,14.12,15.41,16.48,16.59,16.55,16.9,18.36
서울,약사,인원수,,,,,,,,8948,9200,9508,9812,7961,7013,7339,7563,7742,8243,8047,8133,8250,8236,8070,8460,10833,10890,1135,1132,1178,892
서울,약사,남자인원수,,,,,,,,4186,4250,4459,4462,,,,,,,,,,,,,,,,,,
서울,약사,여자인원수,,,,,,,,4762,4950,5049,5350,,,,,,,,,,,,,,,,,,
서울,약사,만명당인원수,,,,,,,,11,10.9,10.9,11,,7.4,7.6,7.7,7.74,8,7.65,7.65,7.58,7.5,7.38,7.83,10.22,10.4,1.09,1.1,1.14,0.86
서울,간호조무사,인원수,,,,,,,,,,,,,,,,,,,,,13696,14896,16375,17907,17485,18320,17618,17804,17919
서울,간호조무사,만명당인원수,,,,,,,,,,,,,,,,,,,,,12.48,13.63,15.16,16.9,16.7,17.63,17.07,17.25,17.27
서울,의료기사,인원수,,,,,,,,,,,,,,,,,,,,,5935,6090,6992,8243,8028,7590,8515,9060,9131
서울,의료기사,만명당인원수,,,,,,,,,,,,,,,,,,,,,5.41,5.57,6.47,7.78,7.67,7.31,8.25,8.78,8.8
서울,유사의료업자,인원수,354,106,102,38,128,842,986,150,1855,1372,105,2315,240,432,139,79,4166,4565,5162,5504,,,,,,,,,
서울,유사의료업자,남자인원수,302,102,,20,116,517,365,105,1132,732,101,,,,,,,,,,,,,,,,,,
서울,유사의료업자,여자인원수,52,4,,18,12,325,621,5,723,640,4,,,,,,,,,,,,,,,,,,
서울,유사의료업자,만명당인원수,0.9,0.2,0.2,0.2,0.0128,1.2,1.26,,2.2,1.6,0.1,,0.3,0.4,0.14,0.07,4,4.34,4.86,5.06,,,,,,,,,
서울,안마사,인원수,,,,,,,,,,,,,,,,485,2012,1850,1800,1855,,,,,,,,,
서울,안마사,남자인원수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,안마사,여자인원수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,안마사,만명당인원수,,,,,,,,,,,,,,,,0.48,2,1.75,1.69,1.7,,,,,,,,,
부산,합계,인원수,1411,1797,1878,2516,1716,1239,3211,5191,5855,6076,6547,6843,8109,8562,6859,8078,8731,8861,10206,8723,14943,19528,19707,21048,21493,21868,21909,23644,22812
부산,합계,남자인원수,950,1155,1190,1321,1429,1149,1166,2570,2889,3088,3390,3544,3860,4077,3757,4176,4641,4665,5033,4204,,,,,,,,,
부산,합계,여자인원수,461,642,688,1195,1287,90,2045,2621,2966,2988,3157,3299,4249,4485,3102,3902,4090,4196,5173,4519,,,,,,,,,
부산,합계,만명당인원수,9.66,9.5,9.6,12,7.4,5,8.9,17.1,18.5,18.7,19.6,20.2,23.2,24.3,19.5,22.1,23.3,23,26.9,22.62,38.44,50.48,51.23,54.07,55.41,56.58,57.01,61.71,59.84
부산,의사,인원수,821,873,925,997,1114,1074,806,1423,1553,1725,1875,1951,2093,2216,2232,2575,2963,2840,3020,3232,1,3800,3785,4186,4222,4342,4327,4754,4750
부산,의사,남자인원수,600,786,829,924,1002,989,693,1320,1412,1561,1681,1759,1895,2058,2045,2382,2778,2652,2823,2847,,,,,,,,,
부산,의사,여자인원수,221,87,96,73,112,85,113,103,141,164,194,192,198,158,187,193,185,188,197,385,,,,,,,,,
부산,의사,만명당인원수,0.56,4.6,4.8,4.8,4.8,4.4,2.7,4.6,4.9,5.3,5.6,5.7,6,6.3,6.2,7,7.9,7.4,8,8.38,,9.82,9.84,10.75,10.88,11.23,11.26,12.41,12.46
부산,치과의사,인원수,116,125,130,154,155,161,192,202,218,236,,300,297,363,384,421,458,512,585,670,727,777,677,896,924,976,1016,1089,1114
부산,치과의사,남자인원수,84,119,121,149,149,156,188,199,212,230,245,291,286,344,369,402,437,490,558,604,,,,,,,,,
부산,치과의사,여자인원수,32,6,9,5,6,5,4,3,6,6,8,9,11,19,15,19,21,22,27,66,,,,,,,,,
부산,치과의사,만명당인원수,0.08,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,,0.9,0.8,1,1.1,1.2,1.2,1.3,1.5,1.73,1.87,2,1.76,2.3,2.38,2.53,2.64,2.84,2.92
부산,한의사,인원수,189,210,200,232,235,241,257,264,270,284,292,283,290,298,324,357,388,422,464,475,516,545,582,620,638,672,708,747,776
부산,한의사,남자인원수,129,206,196,228,233,238,253,260,263,284,287,280,282,292,312,347,372,405,444,458,,,,,,,,,
부산,한의사,여자인원수,60,4,4,4,2,3,4,4,7,,5,3,8,6,12,10,16,17,20,17,,,,,,,,,
부산,한의사,만명당인원수,0.13,1.1,1,1.86,1,1,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.23,1.32,1.4,1.51,1.59,1.64,1.74,1.84,1.95,2.04
부산,조산사,인원수,175,114,196,492,83,142,68,205,241,189,263,268,390,382,228,238,246,183,265,252,378,279,281,287,271,266,279,273,282
부산,조산사,만명당인원수,0.1,0.6,1,0.078,0.4,0.6,0.2,0.6,0.8,0.6,0.8,0.8,1.1,1.1,0.6,0.7,0.7,0.5,0.7,0.65,0.97,0.72,0.73,0.74,0.7,0.69,0.73,0.71,0.74
부산,간호사,인원수,455,426,378,3877,1069,781,1848,1726,1664,1723,1679,1794,2600,2781,1764,2287,2440,2616,3365,3566,3892,4026,4205,4210,4271,4439,4478,4888,5234
부산,간호사,만명당인원수,1.2,2.3,1.9,0.61,4.6,3.2,6.4,5.6,5,5.3,5,5.3,7.4,7.9,4.9,6.3,6.5,6.8,8.9,9.25,10.01,10.4,10.93,10.81,11.01,11.48,11.65,12.76,13.73
부산,약사,인원수,,,,,,,,1326,1868,1868,1952,2018,2018,2086,1884,2152,2184,2230,2419,233,2036,2300,1991,2065,2082,2013,1952,1983,251
부산,약사,남자인원수,,,,,,,,754,962,962,1014,1065,1065,1051,990,1009,1016,1076,1160,91,,,,,,,,,
부산,약사,여자인원수,,,,,,,,572,906,906,938,953,953,1035,894,1143,1168,1154,1259,142,,,,,,,,,
부산,약사,만명당인원수,,,,,,,,4.3,5.9,5.7,5.8,5.9,5.8,5.9,5.3,5.9,5.8,5.8,6.4,0.6,5.23,5.94,5.17,5.3,5.37,5.21,5.08,5.18,0.66
부산,간호조무사,인원수,,,,,,,,,,,,,,,,,,,,,5729,5991,6278,6402,6590,6619,6572,7132,7563
부산,간호조무사,만명당인원수,,,,,,,,,,,,,,,,,,,,,14.73,15.48,16.32,16.45,16.99,17.12,17.1,18.61,19.84
부산,의료기사,인원수,,,,,,,,,,,,,,,,,,,,,1664,1810,1908,2382,2495,2541,2577,2778,2842
부산,의료기사,만명당인원수,,,,,,,,,,,,,,,,,,,,,4.28,4.67,4.96,6.12,6.43,6.57,6.71,7.25,7.45
부산,유사의료업자,인원수,109,49,49,111,60,47,40,45,41,51,233,229,421,436,43,23,22,22,21,20,,,,,,,,,
부산,유사의료업자,남자인원수,108,44,44,111,45,46,32,37,40,51,163,149,332,332,41,23,22,22,21,19,,,,,,,,,
부산,유사의료업자,여자인원수,1,5,5,,15,1,8,8,1,,70,80,89,104,2,,,,,1,,,,,,,,,
부산,유사의료업자,만명당인원수,0.07,0.3,0.3,,0.3,0.2,0.1,0.1,0.1,0.2,0.7,0.7,1.2,1.2,0.12,0.1,0.1,0.1,0.5,0.05,,,,,,,,,
부산,안마사,인원수,,,,,,,,,,,,,,,,25,30,36,67,275,,,,,,,,,
부산,안마사,남자인원수,,,,,,,,,,,,,,,,13,16,20,27,185,,,,,,,,,
부산,안마사,여자인원수,,,,,,,,,,,,,,,,12,14,16,40,90,,,,,,,,,
부산,안마사,만명당인원수,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.71,,,,,,,,,
대구,합계,인원수,,,,,,,,,,3154,3333,3926,4585,4632,4638,4977,5424,5955,6256,6712,11647,12374,13257,13762,12915,16205,15183,15641,15414
대구,합계,남자인원수,,,,,,,,,,1737,1981,2239,2171,2397,2524,2651,2838,2929,2915,3380,,,,,,,,,
대구,합계,여자인원수,,,,,,,,,,1417,1352,1687,2414,2235,2114,2326,2586,3026,3341,3332,,,,,,,,,
대구,합계,만명당인원수,,,,,,,,,,17.2,17.5,20,16.5,22.7,22.2,24.1,24.2,26,28,30.01,50.94,53.44,56.48,55.36,51.85,64.77,60.62,62.14,60.73
대구,의사,인원수,,,,,,,,,,1039,1162,1321,1336,1468,1613,1678,1788,1907,1934,2206,2331,2513,2728,2711,2870,3147,3278,3383,3364
대구,의사,남자인원수,,,,,,,,,,958,1093,1287,1265,1405,1488,1510,1629,1677,1643,1933,,,,,,,,,
대구,의사,여자인원수,,,,,,,,,,81,69,34,71,63,125,168,159,230,291,273,,,,,,,,,
대구,의사,만명당인원수,,,,,,,,,,5.7,6.1,6.7,6.6,7.2,7.7,7.8,8,8.3,8.7,9.86,10.19,10.85,11.62,10.91,11.52,12.58,13.09,13.44,13.25
대구,치과의사,인원수,,,,,,,,,,134,191,205,194,266,302,340,380,421,474,502,555,584,613,657,694,728,740,781,835
대구,치과의사,남자인원수,,,,,,,,,,124,177,189,180,252,263,289,320,361,366,419,,,,,,,,,
대구,치과의사,여자인원수,,,,,,,,,,10,14,16,14,14,39,51,60,60,108,83,,,,,,,,,
대구,치과의사,만명당인원수,,,,,,,,,,0.8,1,1,1,1.3,1.5,1.6,1.7,1.8,2.1,2.24,2.42,2.52,2.61,2.64,2.79,2.91,2.95,3.1,3.29
대구,한의사,인원수,,,,,,,,,,124,126,136,170,181,196,229,277,348,389,426,486,527,511,586,591,579,597,615,627
대구,한의사,남자인원수,,,,,,,,,,122,124,134,164,177,186,222,265,334,367,404,,,,,,,,,
대구,한의사,여자인원수,,,,,,,,,,2,2,2,6,4,10,7,12,14,22,22,,,,,,,,,
대구,한의사,만명당인원수,,,,,,,,,,0.7,0.6,0.7,0.8,0.9,0.9,1.05,1.2,1.5,1.7,1.9,2.12,2.27,2.17,2.36,2.37,2.31,2.38,2.44,2.47
대구,조산사,인원수,,,,,,,,,,22,45,47,80,48,56,65,70,59,61,63,53,59,76,53,73,78,43,45,41
대구,조산사,만명당인원수,,,,,,,,,,0.2,0.2,0.2,0.4,0.2,0.3,0.3,0.3,0.3,0.6,0.28,0.23,0.25,0.32,0.21,0.29,0.31,0.17,0.18,0.16
대구,간호사,인원수,,,,,,,,,,668,763,918,1520,1383,1196,1315,1493,1817,1984,1943,2127,2352,2655,2705,2850,2917,3102,3279,3733
대구,간호사,만명당인원수,,,,,,,,,,3.7,4,4.7,7.6,6.8,5.7,7.1,6.7,7.9,8.9,8.68,9.3,10.15,11.31,10.88,11.44,11.66,12.38,13.03,14.71
대구,약사,인원수,,,,,,,,,,1153,975,1228,1271,1271,1258,1259,1295,1305,1312,1482,1452,1533,1550,1998,180,2917,1472,205,154
대구,약사,남자인원수,,,,,,,,,,521,536,564,548,548,576,584,536,494,478,570,,,,,,,,,
대구,약사,여자인원수,,,,,,,,,,632,439,664,723,723,682,675,759,811,834,912,,,,,,,,,
대구,약사,만명당인원수,,,,,,,,,,6.3,5.1,6.3,6.3,6.3,6,5.8,5.8,5.7,5.9,6.62,6.35,6.62,6.6,8.04,0.72,11.66,5.88,0.81,0.61
대구,간호조무사,인원수,,,,,,,,,,,,,,,,,,,,,3222,3232,3329,3299,3618,3660,3752,3919,3907
대구,간호조무사,만명당인원수,,,,,,,,,,,,,,,,,,,,,14.09,13.95,14.18,13.27,14.52,14.63,14.98,15.57,15.39
대구,의료기사,인원수,,,,,,,,,,,,,,,,,,,,,1421,1574,1795,1753,2039,2179,2199,3414,2753
대구,의료기사,만명당인원수,,,,,,,,,,,,,,,,,,,,,6.21,6.79,7.64,7.05,8.19,8.71,8.78,13.56,10.85
대구,유사의료업자,인원수,,,,,,,,,,14,71,71,14,15,17,19,18,6,7,7,,,,,,,,,
