행정구분,직종구분,데이터구분,년도,데이터
전국,치과의사,만명당인원수,2016,4.52
전국,치과의사,만명당인원수,2017,4.64
전국,한의사,인원수,2009,14854
전국,한의사,인원수,2010,15855
전국,한의사,인원수,2011,15887
전국,한의사,인원수,2012,16290
전국,한의사,인원수,2013,17085
전국,한의사,인원수,2014,17889
전국,한의사,인원수,2015,18192
전국,한의사,인원수,2016,18506
전국,한의사,인원수,2017,19758
전국,한의사,만명당인원수,2009,0.3
전국,한의사,만명당인원수,2010,0.3
전국,한의사,만명당인원수,2011,3.1
전국,한의사,만명당인원수,2012,3.1
전국,한의사,만명당인원수,2013,3.28
전국,한의사,만명당인원수,2014,3.41
전국,한의사,만명당인원수,2015,3.45
전국,한의사,만명당인원수,2016,3.5
전국,한의사,만명당인원수,2017,3.73
전국,약사,인원수,2009,5144
전국,약사,인원수,2010,5355
전국,약사,인원수,2011,5087
전국,약사,인원수,2012,6350
전국,약사,인원수,2013,6784
전국,약사,인원수,2014,8445
전국,약사,인원수,2015,8208
전국,약사,인원수,2016,9254
전국,약사,인원수,2017,12518
전국,약사,만명당인원수,2009,1
전국,약사,만명당인원수,2010,1.1
전국,약사,만명당인원수,2011,1
전국,약사,만명당인원수,2012,1.2
전국,약사,만명당인원수,2013,1.3
전국,약사,만명당인원수,2014,1.61
전국,약사,만명당인원수,2015,1.56
전국,약사,만명당인원수,2016,1.75
전국,약사,만명당인원수,2017,2.36
전국,조산사,인원수,2009,638
전국,조산사,인원수,2010,645
전국,조산사,인원수,2011,581
전국,조산사,인원수,2012,617
전국,조산사,인원수,2013,668
전국,조산사,인원수,2014,438
전국,조산사,인원수,2015,402
전국,조산사,인원수,2016,190
전국,조산사,인원수,2017,134
전국,조산사,만명당인원수,2009,0.1
전국,조산사,만명당인원수,2010,0.1
전국,조산사,만명당인원수,2011,0.1
전국,조산사,만명당인원수,2012,0.1
전국,조산사,만명당인원수,2013,0.13
전국,조산사,만명당인원수,2014,0.08
전국,조산사,만명당인원수,2015,0.08
전국,조산사,만명당인원수,2016,0.04
전국,조산사,만명당인원수,2017,0.03
전국,간호사,인원수,2009,114582
전국,간호사,인원수,2010,124873
전국,간호사,인원수,2011,130179
전국,간호사,인원수,2012,134510
전국,간호사,인원수,2013,143462
전국,간호사,인원수,2014,150793
전국,간호사,인원수,2015,159065
전국,간호사,인원수,2016,169982
전국,간호사,인원수,2017,181672
전국,간호사,만명당인원수,2009,22.9
전국,간호사,만명당인원수,2010,24.7
전국,간호사,만명당인원수,2011,25.5
전국,간호사,만명당인원수,2012,25.9
전국,간호사,만명당인원수,2013,27.52
전국,간호사,만명당인원수,2014,28.77
전국,간호사,만명당인원수,2015,30.2
전국,간호사,만명당인원수,2016,32.16
전국,간호사,만명당인원수,2017,34.31
전국,간호조무사,인원수,2009,108730
전국,간호조무사,인원수,2010,118700
전국,간호조무사,인원수,2011,122854
전국,간호조무사,인원수,2012,129702
전국,간호조무사,인원수,2013,132088
전국,간호조무사,인원수,2014,139687
전국,간호조무사,인원수,2015,140859
전국,간호조무사,인원수,2016,150155
전국,간호조무사,인원수,2017,158904
전국,간호조무사,만명당인원수,2009,21.7
전국,간호조무사,만명당인원수,2010,23.5
전국,간호조무사,만명당인원수,2011,24.1
전국,간호조무사,만명당인원수,2012,25
전국,간호조무사,만명당인원수,2013,25.34
전국,간호조무사,만명당인원수,2014,26.65
전국,간호조무사,만명당인원수,2015,26.74
전국,간호조무사,만명당인원수,2016,28.41
전국,간호조무사,만명당인원수,2017,30.01
전국,의료기사,인원수,2009,73231
전국,의료기사,인원수,2010,79392
전국,의료기사,인원수,2011,80501
전국,의료기사,인원수,2012,81691
전국,의료기사,인원수,2013,85210
전국,의료기사,인원수,2014,90565
전국,의료기사,인원수,2015,94657
전국,의료기사,인원수,2016,109179
전국,의료기사,인원수,2017,131638
전국,의료기사,만명당인원수,2009,14.6
전국,의료기사,만명당인원수,2010,15.7
전국,의료기사,만명당인원수,2011,15.8
전국,의료기사,만명당인원수,2012,15.7
전국,의료기사,만명당인원수,2013,16.35
전국,의료기사,만명당인원수,2014,17.28
전국,의료기사,만명당인원수,2015,17.97
전국,의료기사,만명당인원수,2016,20.65
전국,의료기사,만명당인원수,2017,24.86
전국,의무기록사,인원수,2009,2551
전국,의무기록사,인원수,2010,2831
전국,의무기록사,인원수,2011,3025
전국,의무기록사,인원수,2012,2984
전국,의무기록사,인원수,2013,3331
전국,의무기록사,인원수,2014,3389
전국,의무기록사,인원수,2015,3838
전국,의무기록사,인원수,2016,4106
전국,의무기록사,인원수,2017,4474
전국,의무기록사,만명당인원수,2009,0.5
전국,의무기록사,만명당인원수,2010,0.6
전국,의무기록사,만명당인원수,2011,0.6
전국,의무기록사,만명당인원수,2012,0.6
전국,의무기록사,만명당인원수,2013,0.64
전국,의무기록사,만명당인원수,2014,0.65
전국,의무기록사,만명당인원수,2015,0.73
전국,의무기록사,만명당인원수,2016,0.78
전국,의무기록사,만명당인원수,2017,0.84
서울,합계,인원수,2009,123608
서울,합계,인원수,2010,123608
서울,합계,인원수,2011,120834
서울,합계,인원수,2012,126028
서울,합계,인원수,2013,128505
서울,합계,인원수,2014,133859
서울,합계,인원수,2015,133951
서울,합계,인원수,2016,135392
서울,합계,인원수,2017,143677
서울,합계,만명당인원수,2009,118.1
서울,합계,만명당인원수,2010,119.9
서울,합계,만명당인원수,2011,114.8
서울,합계,만명당인원수,2012,120.7
서울,합계,만명당인원수,2013,124
서울,합계,만명당인원수,2014,129.09
서울,합계,만명당인원수,2015,130
서울,합계,만명당인원수,2016,133
서울,합계,만명당인원수,2017,142
서울,합계,인구수,2009,10464051
서울,합계,인구수,2010,10312545
서울,합계,인구수,2011,10249679
서울,합계,인구수,2012,10442426
서울,합계,인구수,2013,10388055
서울,합계,인구수,2014,10369593
서울,합계,인구수,2015,10297138
서울,합계,인구수,2016,10204057
서울,합계,인구수,2017,10124579
서울,상근의사,인원수,2009,27466
서울,상근의사,인원수,2010,27466
서울,상근의사,인원수,2011,26940
서울,상근의사,인원수,2012,27730
서울,상근의사,인원수,2013,27710
서울,상근의사,인원수,2014,28488
서울,상근의사,인원수,2015,29236
서울,상근의사,인원수,2016,25916
서울,상근의사,인원수,2017,28144
서울,상근의사,만명당인원수,2009,26.2
서울,상근의사,만명당인원수,2010,26.6
서울,상근의사,만명당인원수,2011,25.6
서울,상근의사,만명당인원수,2012,26.6
서울,상근의사,만명당인원수,2013,26.67
서울,상근의사,만명당인원수,2014,27.47
서울,상근의사,만명당인원수,2015,28.39
서울,상근의사,만명당인원수,2016,25.4
서울,상근의사,만명당인원수,2017,27.8
서울,비상근의사,인원수,2009,374
서울,비상근의사,인원수,2010,374
서울,비상근의사,인원수,2011,354
서울,비상근의사,인원수,2012,651
서울,비상근의사,인원수,2013,659
서울,비상근의사,인원수,2014,659
서울,비상근의사,인원수,2015,832
서울,비상근의사,인원수,2016,452
서울,비상근의사,인원수,2017,
서울,비상근의사,만명당인원수,2009,0.4
서울,비상근의사,만명당인원수,2010,0.4
서울,비상근의사,만명당인원수,2011,0.3
서울,비상근의사,만명당인원수,2012,0.6
서울,비상근의사,만명당인원수,2013,11
서울,비상근의사,만명당인원수,2014,11.32
서울,비상근의사,만명당인원수,2015,14
서울,비상근의사,만명당인원수,2016,8
서울,비상근의사,만명당인원수,2017,
서울,치과의사,인원수,2009,7330
서울,치과의사,인원수,2010,7330
서울,치과의사,인원수,2011,6982
서울,치과의사,인원수,2012,7268
서울,치과의사,인원수,2013,6908
서울,치과의사,인원수,2014,6900
서울,치과의사,인원수,2015,7353
서울,치과의사,인원수,2016,6776
서울,치과의사,인원수,2017,7009
서울,치과의사,만명당인원수,2009,7
서울,치과의사,만명당인원수,2010,7.1
서울,치과의사,만명당인원수,2011,6.6
서울,치과의사,만명당인원수,2012,7
서울,치과의사,만명당인원수,2013,6.65
서울,치과의사,만명당인원수,2014,6.65
서울,치과의사,만명당인원수,2015,7.14
서울,치과의사,만명당인원수,2016,6.64
서울,치과의사,만명당인원수,2017,6.92
서울,한의사,인원수,2009,4999
서울,한의사,인원수,2010,4999
서울,한의사,인원수,2011,4449
서울,한의사,인원수,2012,4456
서울,한의사,인원수,2013,4511
서울,한의사,인원수,2014,4565
서울,한의사,인원수,2015,4593
서울,한의사,인원수,2016,4451
서울,한의사,인원수,2017,4882
서울,한의사,만명당인원수,2009,0.5
서울,한의사,만명당인원수,2010,0.5
서울,한의사,만명당인원수,2011,4.2
서울,한의사,만명당인원수,2012,4.3
서울,한의사,만명당인원수,2013,4.34
서울,한의사,만명당인원수,2014,4.4
서울,한의사,만명당인원수,2015,4.46
서울,한의사,만명당인원수,2016,4.36
서울,한의사,만명당인원수,2017,4.82
서울,약사,인원수,2009,2012
서울,약사,인원수,2010,2012
서울,약사,인원수,2011,1197
서울,약사,인원수,2012,1494
서울,약사,인원수,2013,1941
서울,약사,인원수,2014,2022
서울,약사,인원수,2015,2080
서울,약사,인원수,2016,2185
서울,약사,인원수,2017,2234
서울,약사,만명당인원수,2009,1.9
서울,약사,만명당인원수,2010,2
서울,약사,만명당인원수,2011,1.1
서울,약사,만명당인원수,2012,1.4
서울,약사,만명당인원수,2013,1.87
서울,약사,만명당인원수,2014,1.95
서울,약사,만명당인원수,2015,2.02
서울,약사,만명당인원수,2016,2.14
서울,약사,만명당인원수,2017,2.21
서울,조산사,인원수,2009,100
서울,조산사,인원수,2010,100
서울,조산사,인원수,2011,83
서울,조산사,인원수,2012,88
서울,조산사,인원수,2013,107
서울,조산사,인원수,2014,100
서울,조산사,인원수,2015,87
서울,조산사,인원수,2016,29
서울,조산사,인원수,2017,22
서울,조산사,만명당인원수,2009,0.1
서울,조산사,만명당인원수,2010,0.1
서울,조산사,만명당인원수,2011,0.1
서울,조산사,만명당인원수,2012,0.1
서울,조산사,만명당인원수,2013,0.1
서울,조산사,만명당인원수,2014,0.1
서울,조산사,만명당인원수,2015,0.08
서울,조산사,만명당인원수,2016,0.03
서울,조산사,만명당인원수,2017,0.02
서울,간호사,인원수,2009,37703
서울,간호사,인원수,2010,37703
서울,간호사,인원수,2011,36500
서울,간호사,인원수,2012,38211
서울,간호사,인원수,2013,39612
서울,간호사,인원수,2014,40912
서울,간호사,인원수,2015,42222
서울,간호사,인원수,2016,42690
서울,간호사,인원수,2017,45045
서울,간호사,만명당인원수,2009,36
서울,간호사,만명당인원수,2010,36.6
서울,간호사,만명당인원수,2011,34.7
서울,간호사,만명당인원수,2012,36.6
서울,간호사,만명당인원수,2013,38.13
서울,간호사,만명당인원수,2014,39.45
서울,간호사,만명당인원수,2015,41
서울,간호사,만명당인원수,2016,41.84
서울,간호사,만명당인원수,2017,44.49
서울,간호조무사,인원수,2009,24204
서울,간호조무사,인원수,2010,24204
서울,간호조무사,인원수,2011,24695
서울,간호조무사,인원수,2012,26020
서울,간호조무사,인원수,2013,25808
서울,간호조무사,인원수,2014,27581
서울,간호조무사,인원수,2015,25756
서울,간호조무사,인원수,2016,26661
서울,간호조무사,인원수,2017,27058
서울,간호조무사,만명당인원수,2009,23.1
서울,간호조무사,만명당인원수,2010,23.5
서울,간호조무사,만명당인원수,2011,23.5
서울,간호조무사,만명당인원수,2012,24.9
서울,간호조무사,만명당인원수,2013,24.84
서울,간호조무사,만명당인원수,2014,26.6
서울,간호조무사,만명당인원수,2015,25.01
서울,간호조무사,만명당인원수,2016,26.13
서울,간호조무사,만명당인원수,2017,26.73
서울,의료기사,인원수,2009,18896
서울,의료기사,인원수,2010,18896
서울,의료기사,인원수,2011,18907
서울,의료기사,인원수,2012,19438
서울,의료기사,인원수,2013,20581
서울,의료기사,인원수,2014,21911
서울,의료기사,인원수,2015,21045
서울,의료기사,인원수,2016,25393
서울,의료기사,인원수,2017,28338
서울,의료기사,만명당인원수,2009,18.1
서울,의료기사,만명당인원수,2010,18.3
서울,의료기사,만명당인원수,2011,18
서울,의료기사,만명당인원수,2012,18.6
서울,의료기사,만명당인원수,2013,19.81
서울,의료기사,만명당인원수,2014,21.13
서울,의료기사,만명당인원수,2015,20.44
서울,의료기사,만명당인원수,2016,24.89
서울,의료기사,만명당인원수,2017,27.99
서울,의무기록사,인원수,2009,524
서울,의무기록사,인원수,2010,524
서울,의무기록사,인원수,2011,727
서울,의무기록사,인원수,2012,672
서울,의무기록사,인원수,2013,668
서울,의무기록사,인원수,2014,721
서울,의무기록사,인원수,2015,747
서울,의무기록사,인원수,2016,839
서울,의무기록사,인원수,2017,945
서울,의무기록사,만명당인원수,2009,0.5
서울,의무기록사,만명당인원수,2010,0.5
서울,의무기록사,만명당인원수,2011,0.7
서울,의무기록사,만명당인원수,2012,0.6
서울,의무기록사,만명당인원수,2013,0.64
서울,의무기록사,만명당인원수,2014,0.7
서울,의무기록사,만명당인원수,2015,0.73
서울,의무기록사,만명당인원수,2016,0.82
서울,의무기록사,만명당인원수,2017,0.93
부산,합계,인원수,2009,34451
부산,합계,인원수,2010,38900
부산,합계,인원수,2011,40037
부산,합계,인원수,2012,40359
부산,합계,인원수,2013,43652
부산,합계,인원수,2014,46631
부산,합계,인원수,2015,48755
부산,합계,인원수,2016,51105
부산,합계,인원수,2017,52488
부산,합계,만명당인원수,2009,97.2
부산,합계,만명당인원수,2010,109
부산,합계,만명당인원수,2011,112.7
부산,합계,만명당인원수,2012,112.9
부산,합계,만명당인원수,2013,122
부산,합계,만명당인원수,2014,131.07
부산,합계,만명당인원수,2015,137
부산,합계,만명당인원수,2016,144
부산,합계,만명당인원수,2017,149
부산,합계,인구수,2009,3543030
부산,합계,인구수,2010,3567910
부산,합계,인구수,2011,3550963
부산,합계,인구수,2012,3573533
부산,합계,인구수,2013,3563578
부산,합계,인구수,2014,3557716
부산,합계,인구수,2015,3559780
부산,합계,인구수,2016,3546887
부산,합계,인구수,2017,3520306
부산,상근의사,인원수,2009,5315
부산,상근의사,인원수,2010,6559
부산,상근의사,인원수,2011,6743
부산,상근의사,인원수,2012,6705
부산,상근의사,인원수,2013,7128
부산,상근의사,인원수,2014,7311
부산,상근의사,인원수,2015,7625
부산,상근의사,인원수,2016,7528
부산,상근의사,인원수,2017,7691
부산,상근의사,만명당인원수,2009,15
부산,상근의사,만명당인원수,2010,18.4
부산,상근의사,만명당인원수,2011,19
부산,상근의사,만명당인원수,2012,18.8
부산,상근의사,만명당인원수,2013,20
부산,상근의사,만명당인원수,2014,20.55
부산,상근의사,만명당인원수,2015,21.42
부산,상근의사,만명당인원수,2016,21.22
부산,상근의사,만명당인원수,2017,21.85
부산,비상근의사,인원수,2009,25
부산,비상근의사,인원수,2010,25
부산,비상근의사,인원수,2011,24
부산,비상근의사,인원수,2012,17
부산,비상근의사,인원수,2013,11
부산,비상근의사,인원수,2014,12
부산,비상근의사,인원수,2015,2
부산,비상근의사,인원수,2016,3
부산,비상근의사,인원수,2017,8
부산,비상근의사,만명당인원수,2009,0.1
부산,비상근의사,만명당인원수,2010,0.1
부산,비상근의사,만명당인원수,2011,0.1
부산,비상근의사,만명당인원수,2012,0
부산,비상근의사,만명당인원수,2013,0.03
부산,비상근의사,만명당인원수,2014,0.03
부산,비상근의사,만명당인원수,2015,0.01
부산,비상근의사,만명당인원수,2016,0.01
부산,비상근의사,만명당인원수,2017,0.02
부산,치과의사,인원수,2009,1346
부산,치과의사,인원수,2010,1485
부산,치과의사,인원수,2011,1319
부산,치과의사,인원수,2012,1471
부산,치과의사,인원수,2013,1522
부산,치과의사,인원수,2014,1585
부산,치과의사,인원수,2015,1541
부산,치과의사,인원수,2016,1724
부산,치과의사,인원수,2017,1691
부산,치과의사,만명당인원수,2009,3.8
부산,치과의사,만명당인원수,2010,4.2
부산,치과의사,만명당인원수,2011,3.7
부산,치과의사,만명당인원수,2012,4.1
부산,치과의사,만명당인원수,2013,4.27
부산,치과의사,만명당인원수,2014,4.46
부산,치과의사,만명당인원수,2015,4.33
부산,치과의사,만명당인원수,2016,4.86
부산,치과의사,만명당인원수,2017,4.8
부산,한의사,인원수,2009,1170
부산,한의사,인원수,2010,1268
부산,한의사,인원수,2011,1217
부산,한의사,인원수,2012,1270
부산,한의사,인원수,2013,1490
부산,한의사,인원수,2014,1543
부산,한의사,인원수,2015,1555
부산,한의사,인원수,2016,1572
부산,한의사,인원수,2017,1614
부산,한의사,만명당인원수,2009,0.3
부산,한의사,만명당인원수,2010,0.4
부산,한의사,만명당인원수,2011,3.4
부산,한의사,만명당인원수,2012,3.6
부산,한의사,만명당인원수,2013,4.18
부산,한의사,만명당인원수,2014,4.34
부산,한의사,만명당인원수,2015,4.37
부산,한의사,만명당인원수,2016,4.43
부산,한의사,만명당인원수,2017,4.58
부산,약사,인원수,2009,308
부산,약사,인원수,2010,447
부산,약사,인원수,2011,387
부산,약사,인원수,2012,472
부산,약사,인원수,2013,484
부산,약사,인원수,2014,535
부산,약사,인원수,2015,515
부산,약사,인원수,2016,556
부산,약사,인원수,2017,546
부산,약사,만명당인원수,2009,0.9
부산,약사,만명당인원수,2010,1.3
부산,약사,만명당인원수,2011,1.1
부산,약사,만명당인원수,2012,1.3
부산,약사,만명당인원수,2013,1.36
부산,약사,만명당인원수,2014,1.5
부산,약사,만명당인원수,2015,1.45
부산,약사,만명당인원수,2016,1.57
부산,약사,만명당인원수,2017,1.55
부산,조산사,인원수,2009,142
부산,조산사,인원수,2010,123
부산,조산사,인원수,2011,132
부산,조산사,인원수,2012,114
부산,조산사,인원수,2013,94
부산,조산사,인원수,2014,81
부산,조산사,인원수,2015,94
부산,조산사,인원수,2016,20
부산,조산사,인원수,2017,15
부산,조산사,만명당인원수,2009,0.4
부산,조산사,만명당인원수,2010,0.3
부산,조산사,만명당인원수,2011,0.4
부산,조산사,만명당인원수,2012,0.3
부산,조산사,만명당인원수,2013,0.26
부산,조산사,만명당인원수,2014,0.23
부산,조산사,만명당인원수,2015,0.26
부산,조산사,만명당인원수,2016,0.06
부산,조산사,만명당인원수,2017,0.04
부산,간호사,인원수,2009,9414
부산,간호사,인원수,2010,10667
부산,간호사,인원수,2011,11555
부산,간호사,인원수,2012,11375
부산,간호사,인원수,2013,12643
부산,간호사,인원수,2014,13370
부산,간호사,인원수,2015,14298
부산,간호사,인원수,2016,15482
부산,간호사,인원수,2017,16007
부산,간호사,만명당인원수,2009,26.6
부산,간호사,만명당인원수,2010,29.9
부산,간호사,만명당인원수,2011,32.5
부산,간호사,만명당인원수,2012,31.8
부산,간호사,만명당인원수,2013,35.48
부산,간호사,만명당인원수,2014,37.58
부산,간호사,만명당인원수,2015,40.17
부산,간호사,만명당인원수,2016,43.65
부산,간호사,만명당인원수,2017,45.47
부산,간호조무사,인원수,2009,11320
부산,간호조무사,인원수,2010,12368
부산,간호조무사,인원수,2011,12537
부산,간호조무사,인원수,2012,12771
부산,간호조무사,인원수,2013,13718
부산,간호조무사,인원수,2014,15139
부산,간호조무사,인원수,2015,15005
부산,간호조무사,인원수,2016,15095
부산,간호조무사,인원수,2017,15717
부산,간호조무사,만명당인원수,2009,32
부산,간호조무사,만명당인원수,2010,34.7
부산,간호조무사,만명당인원수,2011,35.3
부산,간호조무사,만명당인원수,2012,35.7
부산,간호조무사,만명당인원수,2013,38.5
부산,간호조무사,만명당인원수,2014,42.55
부산,간호조무사,만명당인원수,2015,42.15
부산,간호조무사,만명당인원수,2016,42.56
부산,간호조무사,만명당인원수,2017,44.65
부산,의료기사,인원수,2009,5182
부산,의료기사,인원수,2010,5659
부산,의료기사,인원수,2011,5826
부산,의료기사,인원수,2012,5844
부산,의료기사,인원수,2013,6168
부산,의료기사,인원수,2014,6617
부산,의료기사,인원수,2015,7665
부산,의료기사,인원수,2016,8660
부산,의료기사,인원수,2017,8721
부산,의료기사,만명당인원수,2009,14.6
부산,의료기사,만명당인원수,2010,15.9
부산,의료기사,만명당인원수,2011,16.4
부산,의료기사,만명당인원수,2012,16.4
부산,의료기사,만명당인원수,2013,17.31
부산,의료기사,만명당인원수,2014,18.6
부산,의료기사,만명당인원수,2015,21.53
부산,의료기사,만명당인원수,2016,24.42
부산,의료기사,만명당인원수,2017,24.77
부산,의무기록사,인원수,2009,229
부산,의무기록사,인원수,2010,299
부산,의무기록사,인원수,2011,297
부산,의무기록사,인원수,2012,320
부산,의무기록사,인원수,2013,394
부산,의무기록사,인원수,2014,438
부산,의무기록사,인원수,2015,455
부산,의무기록사,인원수,2016,465
부산,의무기록사,인원수,2017,478
부산,의무기록사,만명당인원수,2009,0.6
부산,의무기록사,만명당인원수,2010,0.8
부산,의무기록사,만명당인원수,2011,0.8
부산,의무기록사,만명당인원수,2012,0.9
부산,의무기록사,만명당인원수,2013,1.11
부산,의무기록사,만명당인원수,2014,1.23
부산,의무기록사,만명당인원수,2015,1.28
부산,의무기록사,만명당인원수,2016,1.31
부산,의무기록사,만명당인원수,2017,1.36
대구,합계,인원수,2009,24182
대구,합계,인원수,2010,25151
대구,합계,인원수,2011,25725
대구,합계,인원수,2012,27028
대구,합계,인원수,2013,28480
대구,합계,인원수,2014,29211
대구,합계,인원수,2015,28930
대구,합계,인원수,2016,31086
대구,합계,인원수,2017,32712
대구,합계,만명당인원수,2009,97.1
대구,합계,만명당인원수,2010,100.1
대구,합계,만명당인원수,2011,102.6
대구,합계,만명당인원수,2012,106.9
대구,합계,만명당인원수,2013,113
대구,합계,만명당인원수,2014,115.99
대구,합계,만명당인원수,2015,115
대구,합계,만명당인원수,2016,124
대구,합계,만명당인원수,2017,131
대구,합계,인구수,2009,2489781
대구,합계,인구수,2010,2511676
대구,합계,인구수,2011,2507271
대구,합계,인구수,2012,2527566
대구,합계,인구수,2013,2524890
대구,합계,인구수,2014,2518467
대구,합계,인구수,2015,2513970
대구,합계,인구수,2016,2511050
대구,합계,인구수,2017,2501673
대구,상근의사,인원수,2009,4783
대구,상근의사,인원수,2010,4983
대구,상근의사,인원수,2011,4932
대구,상근의사,인원수,2012,5128
대구,상근의사,인원수,2013,5203
대구,상근의사,인원수,2014,5281
대구,상근의사,인원수,2015,5541
대구,상근의사,인원수,2016,5259
대구,상근의사,인원수,2017,5408
대구,상근의사,만명당인원수,2009,19.2
대구,상근의사,만명당인원수,2010,19.8
대구,상근의사,만명당인원수,2011,19.7
대구,상근의사,만명당인원수,2012,20.3
대구,상근의사,만명당인원수,2013,20.61
대구,상근의사,만명당인원수,2014,20.97
대구,상근의사,만명당인원수,2015,22.04
대구,상근의사,만명당인원수,2016,20.94
대구,상근의사,만명당인원수,2017,21.62
대구,비상근의사,인원수,2009,
대구,비상근의사,인원수,2010,26
대구,비상근의사,인원수,2011,25
대구,비상근의사,인원수,2012,25
대구,비상근의사,인원수,2013,30
대구,비상근의사,인원수,2014,28
대구,비상근의사,인원수,2015,28
대구,비상근의사,인원수,2016,25
대구,비상근의사,인원수,2017,25
대구,비상근의사,만명당인원수,2009,
대구,비상근의사,만명당인원수,2010,0.1
대구,비상근의사,만명당인원수,2011,0.1
대구,비상근의사,만명당인원수,2012,0.1
대구,비상근의사,만명당인원수,2013,0.12
대구,비상근의사,만명당인원수,2014,0.11
대구,비상근의사,만명당인원수,2015,0.11
대구,비상근의사,만명당인원수,2016,0.1
대구,비상근의사,만명당인원수,2017,0.1
대구,치과의사,인원수,2009,992
대구,치과의사,인원수,2010,1042
대구,치과의사,인원수,2011,1091
대구,치과의사,인원수,2012,1161
대구,치과의사,인원수,2013,1174
대구,치과의사,인원수,2014,1211
대구,치과의사,인원수,2015,1213
대구,치과의사,인원수,2016,1146
대구,치과의사,인원수,2017,1188
대구,치과의사,만명당인원수,2009,4
대구,치과의사,만명당인원수,2010,4.1
대구,치과의사,만명당인원수,2011,4.4
대구,치과의사,만명당인원수,2012,4.6
대구,치과의사,만명당인원수,2013,4.65
대구,치과의사,만명당인원수,2014,4.81
대구,치과의사,만명당인원수,2015,4.83
대구,치과의사,만명당인원수,2016,4.56
대구,치과의사,만명당인원수,2017,4.75
대구,한의사,인원수,2009,823
대구,한의사,인원수,2010,849
대구,한의사,인원수,2011,880
대구,한의사,인원수,2012,916
대구,한의사,인원수,2013,957
대구,한의사,인원수,2014,994
대구,한의사,인원수,2015,996
대구,한의사,인원수,2016,1034
대구,한의사,인원수,2017,1096
대구,한의사,만명당인원수,2009,0.3
대구,한의사,만명당인원수,2010,0.3
대구,한의사,만명당인원수,2011,3.5
대구,한의사,만명당인원수,2012,3.6
대구,한의사,만명당인원수,2013,3.79
대구,한의사,만명당인원수,2014,3.95
대구,한의사,만명당인원수,2015,3.96
대구,한의사,만명당인원수,2016,4.12
대구,한의사,만명당인원수,2017,4.38
대구,약사,인원수,2009,217
대구,약사,인원수,2010,237
대구,약사,인원수,2011,247
대구,약사,인원수,2012,297
대구,약사,인원수,2013,314
대구,약사,인원수,2014,323
